Date,Opp,Score,MIN,PTS,TRB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB
"4/5/16","OKC","L 102-124",19,7,2,2,0,2,0,2,3,5,"60%",1,3,"33.3%",0,0,"0%",0,2
"4/2/16","SAC","L 106-115",32,6,13,5,1,2,0,2,2,6,"33.3%",0,1,"0%",2,2,"100%",4,9
"3/31/16","NO","L 95-101",23,9,8,3,1,1,1,1,4,7,"57.1%",1,3,"33.3%",0,0,"0%",2,6
"3/30/16","MEM","W 109-105",28,9,14,1,0,1,1,5,4,6,"66.7%",1,1,"100%",0,0,"0%",5,9
"3/28/16","DAL","L 88-97",23,2,8,2,2,0,3,2,1,7,"14.3%",0,2,"0%",0,0,"0%",0,8
"3/27/16","LAC","L 90-105",20,5,9,2,1,0,0,1,2,7,"28.6%",0,1,"0%",1,2,"50%",3,6
"3/25/16","LAL","W 116-105",21,8,12,4,0,0,1,3,4,9,"44.4%",0,2,"0%",0,0,"0%",2,10
"3/23/16","PHI","W 104-103",27,18,8,5,1,0,1,1,5,6,"83.3%",0,0,"0%",8,12,"66.7%",1,7
"3/21/16","CLE","L 91-124",22,11,4,3,3,0,2,2,4,12,"33.3%",0,1,"0%",3,3,"100%",1,3
"3/19/16","CHA","W 101-93",24,11,14,4,0,1,1,6,5,16,"31.2%",1,2,"50%",0,0,"0%",6,8
"3/17/16","ATL","L 98-116",22,8,5,2,1,1,1,2,4,7,"57.1%",0,1,"0%",0,0,"0%",1,4
"3/15/16","ORL","L 110-116",25,14,6,4,1,1,2,3,5,8,"62.5%",1,1,"100%",3,3,"100%",3,3
"3/14/16","MIA","L 119-124",27,12,8,4,2,1,1,2,5,10,"50%",1,2,"50%",1,2,"50%",3,5
"3/12/16","WAS","W 116-100",16,0,5,3,0,0,2,4,0,0,"0%",0,0,"0%",0,0,"0%",0,5
"3/10/16","PHO","W 116-98",27,18,10,4,2,3,0,4,6,8,"75%",1,2,"50%",5,5,"100%",2,8
